"id","name","parent_id","level","sort_order","description"
"1","Basic","","0","10000","Classic LEGO Bricks, Plates, and Tiles can be stacked vertically by attaching the round studs with a small amount of pressure."
"15","Brick","1","1","10100",""
"27","1× Brick","15","2","10101",""
"28","2× Brick","15","2","10102",""
"29","Tall Brick","15","2","10103",""
"30","Hollow Brick","15","2","10104",""
"176","Large Brick","15","2","10105",""
"189","Minitalia","15","2","10106",""
"16","Plate","1","1","10200",""
"31","1× Plate","16","2","10201",""
"32","2× Plate","16","2","10202",""
"33","Large Plate","16","2","10203",""
"35","Other Plate","16","2","10204",""
"17","Blate","1","1","10300",""
"18","Tile","1","1","10400",""
"36","1× Tile","18","2","10401",""
"37","2× Tile","18","2","10402",""
"38","Large Tile","18","2","10403",""
"39","Inverted Tile","18","2","10404",""
"34","Baseplate","1","1","10500",""
"195","Other","1","1","10600",""
"2","Wall","","0","20000","Panels, walls, doors, and related parts make it easier to construct models than using bricks and plates alone."
"19","Window and Door","2","1","20100",""
"43","Panel","2","1","20200",""
"20","Fence","2","1","20300",""
"40","Decorative","2","1","20400",""
"42","Stairs","2","1","20500",""
"152","Structural","2","1","20600",""
"154","Container","2","1","20700",""
"3","SNOT","","0","30000","These parts allow you to attach studs facing outwards (Studs Not On Top) or attach studs at an offset from the normal grid."
"22","Brick","3","1","30100",""
"21","Bracket","3","1","30200",""
"44","Jumper","3","1","30300",""
"7","Angle","","0","40000","Slopes, wedges, and windscreens allow you to include angled sections in your model."
"56","Slope","7","1","40100",""
"59","10-30° Slope","56","2","40101",""
"60","33° Slope","56","2","40102",""
"61","45° Slope","56","2","40103",""
"62","55-75° Slope","56","2","40104",""
"63","Inverted Slope","56","2","40105",""
"57","Windscreen","7","1","40200",""
"58","Wedge","7","1","40300",""
"64","45° Wedge Plate","58","2","40301",""
"65","63° Wedge Plate","58","2","40302",""
"66","72° Wedge Plate","58","2","40303",""
"67","76° Wedge Plate","58","2","40304",""
