"part_num","ba_name","ba_cat_id"
"3005","1×1 Brick","27"
"3004","1×2 Brick","27"
"3622","1×3 Brick","27"
"3010","1×4 Brick","27"
"3009","1×6 Brick","27"
"3008","1×8 Brick","27"
"6111","1×10 Brick","27"
"6112","1×12 Brick","27"
"2465","1×16 Brick","27"
"2357","2×2 Brick, Corner","27"
"3003","2×2 Brick","28"
"3002","2×3 Brick","28"
"3001","2×4 Brick","28"
"2456","2×6 Brick","28"
"3007","2×8 Brick","28"
"3006","2×10 Brick","28"
"14716","1×1×3 Brick","29"
"2453","1×1×5 Brick","29"
"3245","1×2×2 Brick","29"
"22886","1×2×3 Brick","29"
"2454","1×2×5 Brick","29"
"30145","2×2×3 Brick","29"
"3755","1×3×5 Brick","29"
"49311","1×4×3 Brick","29"
"30144","2×4×3 Brick","29"
"3754","1×6×5 Brick","29"
"3065","1×2 Brick without Bottom Tube","30"
"46212","1×2×5 Brick without Support","30"
"3066","1×4 Brick without Bottom Tubes","30"
"3067","1×6 Brick without Bottom Tubes","30"
"2356","4×6 Brick","176"
"6212","4×10 Brick","176"
"4202","4×12 Brick","176"
"4201","8×8 Brick","176"
"4204","8×16 Brick","176"
"m3003","Minitalia 2×2 Brick","189"
"m3001","Minitalia 2×4 Brick","189"
"3024","1×1 Plate","31"
"3023","1×2 Plate","31"
"3623","1×3 Plate","31"
"3710","1×4 Plate","31"
"78329","1×5 Plate","31"
"3666","1×6 Plate","31"
"3460","1×8 Plate","31"
"4477","1×10 Plate","31"
"60479","1×12 Plate","31"
"2420","2×2 Plate, Corner","31"
"77844","3×3 Plate, Corner","31"
"15397","3×3 Plate, Cross","31"
"73831","2×3 Plate w/ Cutout","31"
"64799","4×4 Plate w/ 2×2 cutout","31"
"3022","2×2 Plate","32"
"3021","2×3 Plate","32"
"3020","2×4 Plate","32"
"3795","2×6 Plate","32"
"3034","2×8 Plate","32"
"3832","2×10 Plate","32"
"2445","2×12 Plate","32"
"91988","2×14 Plate","32"
"4282","2×16 Plate","32"
"2639","4×4 Plate, Corner","32"
"11212","3×3 Plate","33"
"3031","4×4 Plate","33"
"3032","4×6 Plate","33"
"3035","4×8 Plate","33"
"3030","4×10 Plate","33"
"3029","4×12 Plate","33"
"3958","6×6 Plate","33"
"3036","6×8 Plate","33"
"3033","6×10 Plate","33"
"3028","6×12 Plate","33"
"3456","6×14 Plate","33"
"3027","6×16 Plate","33"
"41539","8×8 Plate","33"
"92438","8×16 Plate","33"
"91405","16×16 Plate","33"
"3026","6×24 Plate","33"
"41740","1×4 Plate w/ 2-studs","35"
"33909","2×2 Plate w/ studs edge","35"
"6179","4×4 Plate w/ studs edge","35"
"6180","4×6 Plates w/ studs 3-edges","35"
"6178","6×12 Plate w/ studs 3-edges","35"
"6205","6×16 Plate w/ studs 3-edges","35"
"88646","3×4 Plate w/ studs center","35"
"4151","8×8 Plate w/ Grille","35"
"86996","1×1×⅔ Blate","17"
"2628","8×8×⅔ w/ Studs","17"
"2629","8×16×⅔ w/ Studs","17"
"15624","8×8×⅔ w/ studs 4-edges","17"
"18922","8×16×⅔ w/ studs 4-edges","17"
"71772","8×16×⅔ Smooth w/ recessed studs","17"
"69958","16×16×⅔ Smooth w/ recessed studs","17"
"3070","1×1 Tile","36"
"3069","1×2 Tile","36"
"63864","1×3 Tile","36"
"2431","1×4 Tile","36"
"6636","1×6 Tile","36"
"4162","1×8 Tile","36"
